Altium Designer Pick and Place Locations
C:\Users\kennywak\OneDrive - Intel Corporation\Desktop\PCB_CH32V003\PCB_CH32V003\PCB_CH32V003\Project Outputs for PCB_CH32V003\Pick Place\Pick Place for CH32V003_V0.1.txt

========================================================================================================================
File Design Information:

Date:       19/06/23
Time:       12:36
Revision:   6864e2fd394e6ad67940f4a7150d55df569cc5d4
Variant:    No variations
Units used: mil

Designator Comment            Layer    Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
J4         USB4125-GF-A_REVA2 TopLayer GCT_USB4125-GF-A_REVA2   272.795       -1765.984     0        ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
U1         NCP114             TopLayer SOT95P295X110-5NW        496.551       -1335.000     270      "300 mA LDO that provides the engineer with a very
stable, accurate voltage with low noise suitable for space constrained, noise sensitive applications. In order to optimize performance for battery operated portable applications, the NCP114 employs the dynamic quiescent current adjustment for very low IQ consumption at no-load."                                                                                                                                                                                                                                                                                                  
J5         613010243121       TopLayer 613010243121             555.000       -345.000      180      "10 Position Header Connector Through Hole, Right Angle"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
D3         BAT760             TopLayer SOD323(F)                452.284       -1551.512     0        "Diode Schottky 20V 1A _DC_ Surface Mount SOD-323"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Y1         ECS-240-20-5PX-TR  TopLayer XTAL_ECS-240-20-5PX-TR   360.000       -790.000      270      "24 MHz ±30ppm Crystal 20pF 30 Ohms HC-49/US"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U2         CH32V003F4P6       TopLayer TSOP65P640X110-20N       680.000       -780.000      0        "Microcontroller designed based on QingKe RISC-V2A
core, which supports 48MHz system main frequency in the product function. The series features wide voltage,
single-wire serial debug interface, low-power consumption and ultra-small package. It provides commonly used
peripheral functions, built-in 1 group of DMA controller, 1 group of 10-bit analog-to-digital conversion ADC, 1
group of op-amp comparator, multiple timers, standard communication interfaces such as USART, I2C, SPI, etc.
The rated operating voltage of the product is 3.3V or 5V, and the operating temperature range is -40?~85?
